class_id,class_name,confidence,track_id,bbox,mask
3,car,0.6990959048271179,1,"[1860.490234375, 431.19659423828125, 1920.0, 498.0982971191406]",0.0
3,car,0.7969805598258972,2,"[1426.22314453125, 242.43289184570312, 1570.176025390625, 300.41986083984375]",1.0
3,car,0.596488893032074,3,"[1515.15087890625, 341.11932373046875, 1653.280517578125, 395.7209777832031]",0.0
3,car,0.1291460543870926,4,"[530.763671875, 1036.9251708984375, 584.9969482421875, 1080.0]",0.0
3,car,0.6449294686317444,5,"[617.783935546875, 815.3775634765625, 679.3897094726562, 960.83837890625]",0.0
8,bus,0.6823775768280029,6,"[0.14649462699890137, 197.35134887695312, 107.82257843017578, 326.95294189453125]",0.0
9,motor,0.1227139383554458,7,"[1906.590576171875, 536.7308349609375, 1920.0, 591.0300903320312]",0.0
4,van,0.6809181571006775,8,"[614.3854370117188, 948.560546875, 679.0940551757812, 1079.5150146484375]",0.0
4,van,0.3941465318202972,9,"[172.13034057617188, 546.2835083007812, 274.4844665527344, 594.6407470703125]",0.0
3,car,0.1487232148647308,10,"[1898.0048828125, 445.2613830566406, 1919.97119140625, 496.67803955078125]",0.0
5,truck,0.4122745394706726,11,"[107.27902221679688, 544.3711547851562, 250.3186492919922, 596.4681396484375]",0.0
0,pedestrian,0.129190906882286,12,"[859.6185302734375, 874.9335327148438, 881.9623413085938, 930.83154296875]",0.0
8,bus,0.5994018316268921,13,"[0.009625891223549843, 214.044189453125, 36.08918380737305, 324.6547546386719]",0.0
9,motor,0.2522034049034118,14,"[109.2750015258789, 924.2193603515625, 165.17312622070312, 974.51806640625]",0.0
5,truck,0.4087238013744354,18,"[64.3087158203125, 541.1502685546875, 217.6070098876953, 599.4134521484375]",0.0
4,van,0.3723763525485992,19,"[617.93115234375, 823.128662109375, 679.2225341796875, 974.321044921875]",0.0
4,van,0.4951151907444,20,"[1814.9039306640625, 437.5740051269531, 1919.9305419921875, 492.7666931152344]",0.0
3,car,0.4282694458961487,25,"[1824.24072265625, 439.8350830078125, 1920.0, 492.0265808105469]",0.0
3,car,0.4263432919979095,28,"[518.3406982421875, 946.0654907226562, 585.0733032226562, 1079.875732421875]",0.0
4,van,0.2385420501232147,29,"[615.5047607421875, 889.8501586914062, 679.2144165039062, 1033.159423828125]",0.0
4,van,0.5243954062461853,30,"[97.875244140625, 546.6675415039062, 200.0430908203125, 594.8899536132812]",0.0
4,van,0.3476738035678863,31,"[1600.6502685546875, 335.4927062988281, 1750.849853515625, 396.661865234375]",0.0
3,car,0.6044739484786987,32,"[844.2630615234375, 1029.713623046875, 898.8680419921875, 1079.9976806640625]",0.0
3,car,0.4378547966480255,34,"[615.5667724609375, 932.9405517578125, 681.7687377929688, 1079.931396484375]",0.0
4,van,0.2137153148651123,37,"[404.2178039550781, 542.9835815429688, 539.908935546875, 598.6708984375]",0.0
3,car,0.5421105623245239,40,"[0.0, 443.5653076171875, 22.484743118286133, 495.29144287109375]",1.0
8,bus,0.121938444674015,44,"[0.0, 198.0833740234375, 125.55972290039062, 326.7759094238281]",0.0
4,van,0.5522192716598511,52,"[1815.4500732421875, 433.82720947265625, 1920.0, 498.5743408203125]",0.0
9,motor,0.42579638957977295,64,"[1526.2703857421875, 552.8562622070312, 1581.160888671875, 574.9038696289062]",0.0
3,car,0.39920878410339355,65,"[616.3277587890625, 933.6038818359375, 680.8383178710938, 1080.0]",0.0
