class_id,class_name,confidence,track_id,bbox,mask
3,car,0.7901378870010376,1,"[1441.39501953125, 432.0161437988281, 1608.2042236328125, 500.1546630859375]",0.0
3,car,0.8568592071533203,2,"[1486.7518310546875, 240.5464324951172, 1625.5535888671875, 301.7112731933594]",1.0
3,car,0.5945799946784973,3,"[1619.992431640625, 337.5743103027344, 1769.8026123046875, 395.91973876953125]",0.0
3,car,0.5012483596801758,4,"[519.3265380859375, 931.8670043945312, 585.7721557617188, 1080.0]",0.0
3,car,0.6449294686317444,5,"[617.783935546875, 815.3775634765625, 679.3897094726562, 960.83837890625]",0.0
5,truck,0.5467584729194641,6,"[0.0, 201.9006805419922, 146.22047424316406, 328.5660400390625]",0.0
9,motor,0.1227139383554458,7,"[1906.590576171875, 536.7308349609375, 1920.0, 591.0300903320312]",0.0
3,car,0.6912348866462708,8,"[617.4779052734375, 848.2922973632812, 679.9525756835938, 1008.4594116210938]",0.0
3,car,0.4028538465499878,9,"[86.7901611328125, 542.0023193359375, 233.02987670898438, 597.1893310546875]",0.0
4,van,0.4436258375644684,10,"[1832.1251220703125, 439.25775146484375, 1920.0, 493.2859191894531]",0.0
4,van,0.5534024834632874,11,"[87.08540344238281, 543.8495483398438, 232.52493286132812, 596.0488891601562]",0.0
0,pedestrian,0.129190906882286,12,"[859.6185302734375, 874.9335327148438, 881.9623413085938, 930.83154296875]",0.0
4,van,0.5821837186813354,13,"[0.0, 200.31642150878906, 148.05862426757812, 328.92755126953125]",0.0
9,motor,0.2522034049034118,14,"[109.2750015258789, 924.2193603515625, 165.17312622070312, 974.51806640625]",0.0
5,truck,0.4087238013744354,18,"[64.3087158203125, 541.1502685546875, 217.6070098876953, 599.4134521484375]",0.0
4,van,0.3723763525485992,19,"[617.93115234375, 823.128662109375, 679.2225341796875, 974.321044921875]",0.0
4,van,0.4951151907444,20,"[1814.9039306640625, 437.5740051269531, 1919.9305419921875, 492.7666931152344]",0.0
3,car,0.4282694458961487,25,"[1824.24072265625, 439.8350830078125, 1920.0, 492.0265808105469]",0.0
3,car,0.4263432919979095,28,"[518.3406982421875, 946.0654907226562, 585.0733032226562, 1079.875732421875]",0.0
4,van,0.2385420501232147,29,"[615.5047607421875, 889.8501586914062, 679.2144165039062, 1033.159423828125]",0.0
4,van,0.5243954062461853,30,"[97.875244140625, 546.6675415039062, 200.0430908203125, 594.8899536132812]",0.0
4,van,0.3476738035678863,31,"[1600.6502685546875, 335.4927062988281, 1750.849853515625, 396.661865234375]",0.0
3,car,0.5941978693008423,32,"[843.8536987304688, 1029.616455078125, 899.164794921875, 1079.99951171875]",0.0
3,car,0.4378547966480255,34,"[615.5667724609375, 932.9405517578125, 681.7687377929688, 1079.931396484375]",0.0
4,van,0.1803140491247177,37,"[496.8661804199219, 542.1376342773438, 630.6986083984375, 595.5244140625]",0.0
3,car,0.5145846605300903,40,"[0.0036152219399809837, 441.9269104003906, 22.627723693847656, 495.2284851074219]",1.0
8,bus,0.121938444674015,44,"[0.0, 198.0833740234375, 125.55972290039062, 326.7759094238281]",0.0
4,van,0.5522192716598511,52,"[1815.4500732421875, 433.82720947265625, 1920.0, 498.5743408203125]",0.0
0,pedestrian,0.145584836602211,64,"[1547.3253173828125, 554.9908447265625, 1582.203369140625, 573.8038940429688]",0.0
3,car,0.549432635307312,65,"[616.2448120117188, 940.5084838867188, 680.663330078125, 1080.0]",0.0
3,car,0.4667629599571228,68,"[1515.6365966796875, 340.8065490722656, 1653.1783447265625, 395.09588623046875]",0.0
